epoch,avg_batch_loss,min_batch_loss,max_batch_loss,eval_spearman,best_score,improved,timestamp
1.0,0.191297,0.16714,0.223968,0.283863,0.283863,yes,2026-03-24 12:45:26
1.0,0.17289,0.146562,0.204719,0.414179,0.414179,yes,2026-03-24 12:45:34
1.0,0.1499,0.105603,0.188229,0.44945,0.44945,yes,2026-03-24 12:45:41
1.0,0.12862,0.052093,0.177178,0.46242,0.46242,yes,2026-03-24 12:45:50
1.0,0.108715,0.01776,0.175282,0.461828,0.46242,no,2026-03-24 12:45:58
1.0,0.093286,0.00481,0.168425,0.463006,0.46242,no,2026-03-24 12:46:06
1.0,0.078788,0.003587,0.170945,0.46203,0.46242,no,2026-03-24 12:46:14
1.0,0.074928,0.006335,0.169627,0.451399,0.46242,no,2026-03-24 12:46:21
1.0,0.06683,0.006771,0.174143,0.449611,0.46242,no,2026-03-24 12:46:28
